//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 3054002
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
03054002;1;01/02/1938;1;21,8;66,2;25;5;1;1;0;1307,2;1;20,5;0;0;0;3,6;0;0;6,8;0;0;0;0;0;0;0;0;0;0;0;13,5;0;0;0;0;21,8;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
03054002;1;01/03/1938;1;52;178,8;30;10;1;1;0;1307,2;1;0;0;0;0;0;0;0;0;0;24;1;0;0;0;0;9,2;0;0;0;0;30,8;2,2;0;0;0;36;19;1,5;3,1;52;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/04/1938;1;27,3;84,5;18;7;1;1;0;1307,2;1;0;1,1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;27,3;0;0;0;0;0;0;14,7;0;25,2;6,7;7,5;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
03054002;1;01/05/1938;1;4,9;7,3;8;2;1;1;0;1307,2;1;0;0;0;0;0;0;0;4,9;2,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/06/1938;1;35;88,5;18;11;1;1;0;1307,2;1;0;0;0;7,5;5,5;0;0;0;0;1;0;0;0;0;0;0;0;35;15,5;8,1;1,3;0;4,2;2,6;0;0;1,2;6,6;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
03054002;1;01/07/1938;1;34,5;81;31;7;1;1;0;1307,2;1;0;0;0;0;0;0;0;0;0;2;0;0;13;0;0;0;0;6,3;0;0;0;0;12,7;0;11;1,5;0;0;0;0;34,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/08/1938;1;24,2;79,4;28;7;1;1;0;1307,2;1;19,9;5,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,6;0;0;0;24,2;7,5;9,2;3,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/09/1938;1;65;171,1;1;9;1;1;0;1307,2;1;65;6;0,4;0;0;0;0;1;0;2,2;0;0;0;0;0;0;0;0;0;18,5;4,5;39;0;0;0;0;0;0;0;34,5;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
03054002;1;01/10/1938;1;41;90,8;28;6;1;1;0;1307,2;1;21;0;0;0;0;0;0;0;0;0;0;0;0;4,5;0;0;0;0;3,8;0;0;0;0;0;0;0;17;41;0;0;3,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/11/1938;1;34,3;123,9;30;8;1;1;0;1307,2;1;0;0;0;0;9;3,8;1,5;0;0;0;0;0;0;0;0;0;0;0;20,5;18,5;0;0;0;0;0;7,5;28,8;0;0;34,3;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
03054002;1;01/12/1938;1;19,3;38,9;20;4;1;1;0;1307,2;1;0;0;0;2,5;0;0;0;0;6;0;0;0;0;0;0;0;0;11,1;0;19,3;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/01/1939;1;52,4;142,2;3;5;1;1;0;1426,7;1;0;0;52,4;0;0;11,3;0;0;0;0;41;5;0;0;0;0;0;0;0;32,5;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/02/1939;1;34,7;130,1;19;8;1;1;0;1426,7;1;16,5;0;0;0;0;6,5;0;0;0;0;0;0;0;0;0;18,9;0;6,5;34,7;0;0;0;0;7,3;0;23,3;16,4;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
03054002;1;01/03/1939;1;13;54;9;7;1;1;0;1426,7;1;0;0;11,5;1,1;0;6,8;0;0;13;12,5;2,6;0;0;0;0;0;0;6,5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
